Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
M,Raw,39.5,73.9,212.5,235.0,132.5
M,Single-ply,39.5,86.8,227.5,272.5,137.5
F,Raw,23.0,76.55,115.0,142.5,55.0
M,Raw,19.0,104.95,227.5,280.0,162.5
F,Raw,37.5,61.7,102.5,122.5,62.5
F,Raw,27.5,60.6,125.0,155.0,70.0
M,Wraps,30.0,98.7,170.0,192.5,162.5
M,Wraps,38.0,90.0,320.0,310.0,180.0
M,Raw,25.0,115.1,205.0,255.0,137.5
F,Raw,22.0,59.4,97.5,115.0,47.5
M,Wraps,51.0,63.41,111.13,140.61,83.91
M,Raw,28.5,86.5,205.0,225.0,120.0
F,Wraps,26.0,107.6,165.0,175.0,80.0
M,Raw,21.5,89.0,187.5,202.5,120.0
M,Raw,36.5,111.6,237.5,250.0,200.0
M,Raw,31.0,122.9,232.5,260.0,182.5
M,Raw,20.5,58.6,150.0,185.0,120.0
M,Raw,35.0,88.1,205.0,232.5,125.0
F,Raw,52.0,76.5,75.0,120.0,45.0
M,Raw,19.0,88.5,192.5,215.0,110.0
F,Raw,23.0,59.3,92.5,127.5,55.0
F,Single-ply,34.0,51.26,95.0,115.0,37.5
M,Wraps,23.0,87.54,204.12,244.94,176.9
M,Raw,31.0,96.1,162.5,240.0,122.5
M,Raw,24.0,81.0,205.0,227.5,135.0
M,Wraps,25.0,98.4,295.0,275.0,190.0
M,Single-ply,23.0,87.27,207.5,230.0,122.5
M,Single-ply,23.0,65.14,227.5,215.0,162.5
F,Single-ply,22.5,62.2,152.5,162.5,92.5
M,Single-ply,31.5,143.2,310.0,320.0,220.0
M,Raw,27.0,88.6,215.0,230.0,125.0
M,Raw,46.0,99.2,145.0,182.5,110.0
F,Wraps,24.0,65.86,92.5,115.0,42.5
F,Raw,49.0,55.4,65.0,92.5,35.0
M,Wraps,27.0,88.6,162.5,172.5,130.0
M,Wraps,19.0,82.1,190.0,237.5,107.5
F,Wraps,47.0,83.8,100.0,122.5,55.0
M,Raw,22.5,96.5,192.5,182.5,107.5
F,Raw,25.5,60.0,127.5,140.0,60.0
M,Raw,18.0,58.3,132.5,182.5,100.0
M,Raw,22.5,65.4,192.5,220.0,107.5
M,Raw,50.0,123.2,170.0,192.5,105.0
F,Raw,34.5,81.53,145.0,175.0,87.5
M,Wraps,41.0,96.4,217.5,260.0,155.0
M,Raw,22.0,95.7,252.5,327.5,150.0
F,Raw,21.0,81.92,120.0,140.0,55.0
M,Raw,25.5,74.9,155.0,210.0,110.0
M,Raw,25.0,81.92,227.5,245.0,155.0
M,Raw,17.0,70.92,132.5,185.0,115.0
M,Raw,26.5,82.2,150.0,202.5,102.5
M,Wraps,35.0,120.5,275.0,260.0,170.0
F,Raw,38.0,51.4,155.0,177.5,85.0
M,Raw,25.0,73.45,185.0,250.0,117.5
F,Raw,22.0,59.8,140.0,150.0,60.0
F,Raw,21.0,54.8,92.5,112.5,47.5
M,Wraps,22.0,95.2,167.5,200.0,115.0
M,Single-ply,16.5,79.6,245.0,250.0,122.5
M,Wraps,22.0,80.6,220.0,230.0,115.0
F,Raw,21.0,72.75,85.0,115.0,42.5
M,Raw,21.0,89.4,282.5,287.5,152.5
F,Single-ply,15.5,67.3,142.5,137.5,70.0
M,Raw,27.0,89.36,192.5,235.0,110.0
M,Single-ply,24.5,100.0,267.5,275.0,157.5
M,Wraps,19.0,74.8,165.0,197.5,122.5
F,Raw,35.0,78.25,70.0,70.0,47.5
M,Wraps,41.0,80.56,210.92,210.92,147.42
M,Raw,29.0,89.55,187.5,190.0,125.0
F,Single-ply,36.5,71.6,190.0,160.0,120.0
M,Wraps,37.0,89.8,172.5,182.5,130.0
M,Raw,31.5,94.8,215.0,250.0,140.0
F,Raw,45.5,92.0,80.0,130.0,60.0
F,Single-ply,18.5,62.9,147.5,145.0,65.0
F,Single-ply,28.5,65.16,160.0,170.0,100.0
M,Raw,21.5,91.8,197.5,242.5,130.0
M,Raw,24.5,72.5,205.0,240.0,155.0
F,Multi-ply,29.0,81.19,227.5,210.0,155.0
M,Raw,19.5,65.06,132.5,165.0,92.5
F,Raw,49.5,62.7,87.5,145.0,65.0
F,Raw,37.5,51.0,107.5,130.0,52.5
M,Single-ply,49.5,76.5,170.0,170.0,120.0
M,Raw,23.5,79.6,215.0,230.0,107.5
M,Wraps,27.0,135.0,160.0,197.5,100.0
M,Wraps,37.0,124.1,300.0,355.0,210.0
F,Single-ply,19.5,56.4,202.5,192.5,105.0
M,Raw,25.5,81.9,205.0,227.5,115.0
F,Single-ply,16.5,72.7,152.5,155.0,55.0
M,Wraps,30.0,98.6,237.5,295.0,190.0
M,Single-ply,50.0,95.25,302.5,247.5,232.5
M,Raw,24.0,67.0,127.5,172.5,102.5
F,Single-ply,42.0,113.7,167.5,142.5,95.0
M,Raw,22.0,109.1,235.0,250.0,175.0
M,Wraps,30.0,122.0,235.01,275.01,145.01
M,Wraps,24.0,100.0,280.0,292.5,187.5
M,Raw,21.0,88.3,175.0,227.5,125.0
M,Wraps,22.0,87.0,205.0,220.0,145.0
M,Raw,24.0,103.35,215.0,215.0,135.0
M,Raw,24.5,79.1,172.5,210.0,105.0
F,Raw,16.5,82.25,130.0,152.5,70.0
M,Raw,23.5,82.1,125.0,210.0,102.5
M,Raw,52.5,81.6,175.0,215.0,120.0
F,Raw,36.0,66.6,97.5,137.5,55.0
M,Wraps,26.0,98.7,250.0,245.0,150.0
F,Raw,36.0,74.4,140.0,170.0,72.5
F,Raw,34.5,105.9,162.5,170.0,87.5
F,Raw,23.0,55.2,75.0,92.5,45.0
F,Raw,28.0,64.6,85.0,117.5,50.0
F,Raw,21.5,111.05,162.5,190.0,107.5
F,Wraps,29.0,69.0,87.5,115.0,50.0
M,Raw,23.0,91.55,230.0,265.0,150.0
M,Raw,33.0,80.1,182.5,187.5,127.5
M,Wraps,24.0,82.3,272.5,252.5,167.5
M,Single-ply,50.5,65.78,242.5,230.0,97.5
M,Raw,26.0,98.2,227.5,272.5,132.5
M,Raw,28.0,81.6,182.5,197.5,120.0
M,Single-ply,17.0,64.1,170.0,185.0,105.0
M,Multi-ply,18.0,111.6,322.5,247.5,225.0
M,Single-ply,44.5,104.3,295.0,280.0,237.5
M,Raw,22.5,91.5,200.0,212.5,150.0
M,Raw,42.0,99.0,187.5,227.5,115.0
F,Raw,44.0,88.27,95.0,125.0,67.5
M,Raw,22.5,73.95,210.0,207.5,130.0
F,Raw,28.0,72.57,80.0,132.5,60.0
F,Single-ply,50.5,56.54,122.5,145.0,77.5
M,Raw,30.0,78.4,137.5,172.5,95.0
F,Raw,21.0,66.5,113.0,127.5,65.0
M,Single-ply,52.0,100.0,150.0,155.0,130.0
M,Raw,47.5,100.5,220.0,255.0,152.5
M,Raw,23.5,119.2,147.5,202.5,125.0
M,Raw,31.5,90.95,165.0,212.5,127.5
F,Raw,29.5,62.06,75.0,110.0,42.5
F,Raw,24.5,67.4,127.5,152.5,65.0
F,Raw,24.0,66.45,102.5,137.5,52.5
M,Wraps,33.0,60.0,142.5,190.0,97.5
M,Raw,26.5,90.8,250.0,265.0,160.0
M,Raw,29.0,73.6,210.0,245.0,135.0
M,Raw,22.0,75.0,175.0,227.5,120.0
M,Wraps,32.0,94.95,197.5,237.5,147.5
M,Raw,27.0,138.98,257.5,295.0,160.0
F,Wraps,44.5,141.0,150.0,165.0,125.0
M,Raw,19.0,77.8,170.0,210.0,102.5
M,Raw,20.5,81.85,245.0,250.0,175.0
F,Raw,32.0,90.0,77.5,100.0,57.5
M,Wraps,27.0,100.0,325.0,330.0,192.5
F,Raw,53.5,60.55,77.5,105.0,50.0
F,Raw,23.5,57.5,102.5,162.5,57.5
M,Raw,20.0,96.6,195.0,220.0,132.5
F,Raw,27.5,72.0,125.0,167.5,65.0
M,Raw,38.5,114.8,245.0,272.5,187.5
F,Raw,24.0,69.0,122.5,145.0,65.0
F,Wraps,31.0,70.31,113.4,136.08,54.43
M,Single-ply,15.0,79.29,160.0,182.5,100.0
M,Raw,37.0,81.86,165.0,190.0,105.0
F,Raw,25.5,66.7,105.0,137.5,52.5
M,Wraps,30.0,137.7,135.0,230.0,120.0
M,Raw,18.0,66.6,200.0,247.5,112.5
M,Single-ply,29.0,63.5,125.0,137.5,85.0
M,Single-ply,18.5,121.1,247.5,207.5,115.0
F,Single-ply,35.0,51.07,147.5,130.0,102.5
M,Raw,23.0,89.81,205.0,295.0,165.0
F,Raw,32.0,88.3,125.0,135.0,65.0
M,Single-ply,22.0,81.0,190.0,197.5,115.0
M,Wraps,34.0,98.88,222.26,260.82,161.03
F,Wraps,18.0,45.4,72.5,92.5,52.5
M,Raw,29.0,80.2,150.0,225.0,147.5
F,Wraps,28.0,80.0,215.0,200.0,110.0
M,Wraps,39.0,103.6,160.0,207.5,110.0
F,Raw,48.0,73.9,80.0,97.5,47.5
M,Raw,30.5,71.1,150.0,200.0,117.5
F,Raw,44.0,88.4,155.0,160.0,80.0
M,Raw,22.0,89.81,175.0,225.0,120.0
F,Wraps,42.0,65.2,120.0,145.0,80.0
F,Raw,26.0,60.0,102.5,142.5,62.5
F,Raw,22.5,59.92,100.0,105.0,47.5
M,Single-ply,18.5,63.8,235.0,212.5,127.5
M,Raw,20.0,104.3,177.5,227.5,165.0
M,Wraps,21.0,109.77,256.28,260.82,204.12
F,Raw,14.5,121.64,145.0,132.5,92.5
M,Raw,45.5,118.7,279.0,249.5,142.9
M,Single-ply,25.5,72.88,270.0,252.5,170.0
M,Raw,19.0,78.8,192.5,192.5,105.0
M,Raw,17.0,114.67,217.5,228.0,160.5
F,Raw,38.0,69.8,85.0,125.0,85.0
M,Raw,23.0,81.5,177.5,215.0,122.5
M,Raw,26.0,82.3,172.5,192.5,125.0
F,Wraps,26.0,56.0,125.0,110.0,50.0
F,Wraps,41.0,74.84,158.76,163.29,81.65
M,Raw,16.5,88.9,185.0,205.0,80.0
F,Raw,20.0,54.7,102.5,125.0,45.0
F,Raw,17.5,55.96,122.5,150.0,88.0
F,Raw,22.0,65.4,90.0,137.5,55.0
F,Raw,27.5,58.1,112.5,127.5,77.5
M,Raw,23.5,101.9,220.0,280.0,150.0
M,Wraps,25.0,108.85,225.0,240.0,140.0
M,Raw,28.0,108.7,240.0,235.0,140.0
M,Raw,15.5,81.4,157.5,202.5,97.5
F,Raw,27.5,71.0,102.5,110.0,52.5
M,Wraps,26.0,107.0,207.5,267.5,145.0
M,Raw,22.5,130.54,257.5,285.0,187.5
M,Raw,28.5,118.7,197.5,237.5,127.5
M,Raw,15.5,80.7,108.9,161.0,70.3
M,Single-ply,13.5,117.8,115.7,127.0,63.5
F,Raw,22.0,68.2,115.0,140.0,65.0
F,Raw,28.0,50.75,62.5,65.0,52.5
M,Raw,34.0,107.6,195.0,220.0,157.5
M,Raw,25.5,84.7,65.0,65.0,65.0
F,Raw,13.5,96.9,67.5,102.5,40.0
M,Raw,29.5,118.2,180.0,220.0,142.5
M,Raw,29.0,98.6,295.0,275.0,210.0
F,Raw,34.5,68.65,135.0,172.5,72.5
M,Raw,20.5,63.2,140.0,165.0,107.5
F,Raw,41.5,57.0,60.0,70.0,47.5
M,Wraps,26.0,136.6,300.0,290.0,227.5
M,Raw,24.0,88.5,165.0,167.5,82.5
M,Wraps,27.0,84.14,190.0,220.0,155.0
F,Raw,29.0,80.06,125.0,172.5,75.0
M,Wraps,25.0,105.0,310.0,300.0,200.0
M,Wraps,35.0,108.14,227.5,272.5,192.5
F,Raw,31.0,55.2,75.0,107.5,57.5
F,Raw,20.0,67.2,60.0,100.0,47.5
M,Raw,28.5,118.2,200.0,227.5,155.0
F,Wraps,36.0,100.24,105.0,152.5,62.5
M,Raw,25.0,80.2,175.0,255.0,137.5
M,Single-ply,26.0,67.3,215.0,227.5,175.0
M,Raw,26.0,80.9,155.0,200.0,95.0
M,Raw,30.0,74.39,232.5,305.0,138.0
M,Raw,21.5,82.67,160.0,75.0,115.0
M,Raw,22.5,92.1,220.0,255.0,147.5
F,Raw,24.5,65.3,112.5,142.5,67.5
M,Raw,19.5,79.65,137.5,162.5,72.5
M,Raw,23.5,97.15,142.5,170.0,97.5
M,Raw,18.5,82.7,185.0,205.0,142.5
F,Wraps,25.0,65.4,115.0,150.0,57.5
F,Raw,30.0,51.7,110.0,130.0,57.5
M,Single-ply,16.0,73.07,137.5,170.0,92.5
F,Raw,25.5,75.2,100.0,122.5,52.5
F,Single-ply,41.0,59.8,80.0,115.0,62.5
F,Single-ply,16.5,60.4,122.5,137.5,67.5
F,Raw,15.0,91.6,90.0,100.0,52.5
M,Raw,21.5,90.0,227.5,272.5,180.0
M,Raw,31.5,88.8,197.5,237.5,157.5
M,Raw,30.0,88.36,155.0,172.5,115.0
M,Wraps,21.0,99.2,205.0,250.0,105.0
M,Single-ply,21.5,82.8,285.0,300.0,192.5
M,Multi-ply,25.0,110.9,250.0,245.0,145.0
M,Raw,24.0,73.75,167.5,197.5,145.0
F,Wraps,33.0,66.0,110.0,92.5,60.0
M,Wraps,52.0,57.28,142.5,165.0,105.0
M,Raw,20.5,73.3,108.9,147.4,83.9
M,Raw,24.0,107.5,212.5,230.0,157.5
M,Raw,20.0,74.8,195.0,210.0,115.0
M,Wraps,18.0,107.5,183.7,208.65,124.74
M,Raw,24.0,93.2,242.5,252.5,162.5
F,Raw,29.0,81.2,127.5,142.5,65.0
F,Raw,47.5,79.1,100.0,125.0,57.5
F,Raw,33.0,62.1,100.0,112.5,55.0
M,Raw,26.5,93.0,205.0,247.5,132.5
M,Raw,15.5,58.2,130.0,150.0,90.0
M,Raw,36.0,81.51,137.5,187.5,107.5
F,Wraps,43.0,73.9,165.0,180.0,102.5
F,Raw,31.5,103.2,145.0,157.5,67.5
M,Raw,15.0,93.4,195.0,242.5,125.0
F,Single-ply,17.5,50.9,137.5,147.5,65.0
F,Raw,35.0,46.85,87.5,92.5,65.0
F,Raw,30.5,82.8,140.0,160.0,85.0
M,Raw,21.5,76.7,195.0,222.5,132.5
M,Raw,49.0,81.0,177.5,227.5,130.0
M,Raw,14.0,73.12,120.0,150.0,77.5
M,Wraps,27.0,65.95,140.0,155.0,95.0
M,Raw,20.5,73.7,155.0,192.5,110.0
M,Raw,48.0,81.3,145.0,170.0,80.0
M,Raw,21.5,88.61,187.5,205.0,117.5
F,Raw,29.0,79.95,112.5,142.5,67.5
M,Raw,37.5,93.0,270.0,275.0,175.0
M,Raw,47.5,81.75,252.5,250.0,160.0
M,Raw,27.0,99.7,210.0,247.5,172.5
F,Wraps,47.0,88.72,110.0,135.0,57.5
M,Raw,21.5,65.2,160.0,180.0,85.0
F,Raw,15.0,51.71,77.5,85.0,42.5
M,Wraps,27.0,98.5,225.0,230.0,130.0
M,Raw,20.5,103.3,210.0,262.5,117.5
M,Raw,15.0,90.0,142.88,149.69,104.33
M,Wraps,28.0,109.0,275.0,275.0,137.5
M,Raw,23.0,99.16,192.5,225.0,142.5
M,Wraps,24.0,79.29,197.5,265.0,147.5
F,Raw,28.0,73.1,130.0,125.0,70.0
M,Raw,23.0,82.2,207.5,227.5,132.5
M,Raw,16.5,106.9,222.5,220.0,110.0
F,Multi-ply,42.0,65.77,217.5,185.0,97.5
F,Raw,38.5,76.34,142.5,172.5,82.5
M,Single-ply,32.5,133.9,320.0,287.5,205.0
M,Raw,24.5,69.6,152.5,172.5,92.5
M,Wraps,24.0,105.91,210.0,217.5,117.5
M,Raw,29.5,116.3,135.0,160.0,100.0
M,Raw,29.0,88.9,170.0,215.0,135.0
M,Raw,20.0,58.4,117.5,167.5,80.0
M,Raw,19.0,78.5,167.5,190.0,140.0
F,Raw,32.0,115.55,110.0,135.0,72.5
F,Multi-ply,47.0,47.99,187.5,152.5,107.5
F,Wraps,25.0,59.24,115.0,137.5,70.0
F,Raw,40.5,79.1,95.0,120.0,50.0
M,Wraps,52.0,119.7,145.0,160.0,110.0
M,Wraps,28.0,105.87,227.5,237.5,135.0
M,Raw,22.0,97.8,197.5,220.0,145.0
M,Raw,22.5,65.2,182.5,225.0,122.5
F,Single-ply,20.5,71.34,205.0,200.0,132.5
F,Raw,16.5,51.87,80.0,122.5,72.5
F,Raw,16.5,52.25,95.0,107.5,45.0
M,Raw,22.5,82.15,177.5,185.0,120.0
M,Single-ply,22.0,60.21,115.0,130.0,85.0
M,Raw,22.0,92.3,210.0,270.0,190.0
M,Raw,44.0,86.3,165.0,210.0,110.0
M,Raw,22.0,102.24,227.5,277.5,137.5
M,Wraps,27.0,96.62,299.37,297.1,151.95
M,Raw,23.0,96.15,217.5,290.0,147.5
M,Raw,30.0,76.1,215.0,230.0,150.0
M,Raw,31.5,111.2,210.0,230.0,140.0
F,Raw,33.5,96.5,100.0,130.0,55.0
M,Wraps,41.0,94.9,155.0,190.0,92.5
M,Wraps,28.0,87.54,177.5,217.5,142.5
F,Raw,23.0,50.9,127.5,132.5,45.0
F,Multi-ply,38.0,73.94,272.5,245.0,170.0
M,Raw,22.5,65.38,205.0,232.5,135.0
M,Raw,28.0,97.4,190.0,222.5,97.5
F,Single-ply,19.5,71.0,200.0,172.5,105.0
F,Raw,39.5,51.8,140.0,172.5,80.0
F,Raw,26.5,69.7,112.5,135.0,55.0
M,Raw,20.0,81.6,250.0,272.5,170.0
M,Wraps,32.0,90.0,280.5,272.5,193.0
M,Wraps,21.0,88.27,225.0,277.5,147.5
F,Single-ply,48.5,50.66,125.0,130.0,85.0
M,Wraps,37.0,96.65,250.0,250.0,160.0
M,Raw,25.5,73.25,245.0,230.0,165.0
F,Raw,20.0,73.5,120.0,135.0,60.0
M,Raw,29.5,102.89,310.0,355.0,195.0
M,Raw,13.5,72.46,125.0,150.0,75.0
M,Wraps,27.0,108.1,290.0,270.0,190.0
M,Wraps,37.0,89.81,272.16,272.16,165.56
M,Raw,41.5,88.3,160.0,205.0,125.0
M,Raw,17.5,65.52,165.0,182.5,90.0
M,Wraps,43.0,109.6,295.0,257.5,190.0
F,Single-ply,36.0,55.4,170.0,150.0,125.0
M,Raw,28.0,106.1,242.5,290.0,162.5
M,Wraps,37.5,108.41,249.48,249.48,147.42
M,Raw,29.0,108.4,245.0,282.5,145.0
M,Wraps,35.0,89.09,219.99,249.48,151.95
M,Raw,27.0,80.6,265.0,305.0,187.5
M,Raw,55.0,74.1,197.5,182.5,100.0
F,Raw,19.5,97.3,122.5,155.0,57.5
M,Raw,25.5,91.8,195.0,197.5,152.5
M,Wraps,23.0,95.0,252.5,250.0,175.0
M,Raw,20.5,114.15,190.0,270.0,110.0
M,Raw,42.0,89.0,240.0,282.5,160.0
M,Wraps,22.0,89.72,265.0,260.0,150.0
F,Raw,44.0,67.3,117.5,130.0,65.0
M,Raw,18.5,82.08,175.0,227.5,110.0
M,Raw,31.5,101.4,175.0,205.0,117.5
M,Raw,39.0,86.77,165.0,212.5,125.0
M,Raw,15.0,90.0,129.27,185.97,104.33
M,Wraps,17.0,99.2,220.0,230.0,127.5
F,Raw,21.5,56.1,85.0,127.5,50.0
F,Raw,21.0,55.5,102.5,137.5,47.5
M,Raw,26.5,91.95,175.0,227.5,125.0
F,Raw,23.0,125.9,177.5,160.0,67.5
F,Raw,39.5,61.7,107.5,130.0,60.0
F,Raw,49.5,68.9,72.5,100.0,37.5
F,Raw,29.5,61.3,92.5,117.5,50.0
M,Wraps,18.0,123.8,267.5,240.0,145.0
M,Raw,32.0,95.7,250.0,287.5,182.5
M,Raw,21.5,87.3,182.5,242.5,125.0
M,Single-ply,26.0,114.8,340.0,320.0,250.0
M,Wraps,22.0,90.0,305.0,270.0,217.5
F,Wraps,29.0,74.6,112.5,140.0,62.5
M,Raw,38.0,99.34,192.5,217.5,150.0
F,Raw,26.5,60.25,100.0,145.0,55.0
M,Raw,26.5,124.7,320.0,287.5,185.0
M,Raw,24.0,80.5,217.5,252.5,137.5
F,Raw,29.5,51.3,127.5,152.5,77.5
M,Wraps,19.0,88.9,205.0,222.5,140.0
M,Raw,17.5,99.82,200.0,215.0,117.5
F,Raw,25.5,56.56,137.5,162.5,85.0
M,Raw,25.5,90.4,240.0,235.0,140.0
F,Raw,27.0,105.7,127.5,160.0,60.0
F,Raw,50.0,78.2,75.0,105.0,57.5
M,Raw,22.0,80.7,197.5,272.5,150.0
M,Raw,46.0,122.79,242.5,227.5,150.0
F,Wraps,24.0,87.32,145.0,155.0,72.5
M,Wraps,23.0,104.78,170.0,190.0,102.5
M,Raw,17.5,59.1,107.5,142.5,75.0
F,Raw,27.0,80.5,177.5,177.5,80.0
M,Raw,23.0,73.1,215.0,237.5,150.0
M,Raw,36.0,74.9,142.5,195.0,85.0
F,Wraps,28.0,50.1,85.0,100.0,52.5
M,Wraps,20.0,74.84,152.5,162.5,87.5
M,Raw,14.5,72.39,135.0,140.0,90.0
M,Raw,40.0,88.7,227.5,272.5,160.0
F,Raw,28.5,62.6,135.0,152.5,65.0
M,Raw,18.5,136.65,250.0,262.5,155.0
F,Raw,28.0,65.4,112.5,132.5,47.5
M,Wraps,20.0,98.2,272.16,276.69,199.58
F,Raw,20.0,58.6,112.5,165.0,55.0
M,Wraps,35.0,123.95,272.5,290.0,170.0
M,Wraps,25.0,106.8,275.0,282.5,192.5
M,Raw,23.0,95.8,197.5,227.5,105.0
M,Wraps,22.0,87.4,240.0,235.0,147.5
M,Wraps,25.0,81.7,270.0,275.0,160.0
F,Raw,19.0,61.6,92.5,132.5,45.0
F,Raw,38.0,67.1,102.5,130.0,52.5
M,Raw,21.5,112.8,280.0,287.5,175.0
F,Raw,22.5,66.55,85.0,125.0,67.5
M,Raw,29.0,91.6,145.0,180.0,100.0
M,Raw,15.5,71.8,125.0,165.0,90.0
M,Wraps,42.0,89.18,170.1,172.37,111.13
F,Wraps,16.0,106.45,237.5,202.5,92.5
F,Raw,50.0,59.24,70.0,87.5,55.0
F,Raw,31.5,61.9,110.0,112.5,62.5
M,Raw,19.5,92.09,203.0,222.5,142.0
F,Raw,23.0,67.1,115.0,132.5,62.5
F,Raw,31.5,62.71,127.5,150.0,90.0
M,Raw,30.0,79.4,155.0,227.5,125.0
M,Raw,24.5,73.7,215.0,242.5,122.5
M,Wraps,26.0,87.9,220.0,220.0,150.0
M,Wraps,21.0,98.4,282.5,290.0,192.5
M,Raw,26.5,73.5,172.5,220.0,117.5
M,Wraps,32.0,83.7,165.0,210.0,137.5
M,Raw,22.5,65.77,248.5,242.5,120.0
M,Wraps,16.0,119.29,187.5,185.0,102.5
M,Raw,24.0,82.5,205.0,220.0,155.0
F,Raw,23.5,55.6,97.5,130.0,52.5
M,Wraps,28.0,87.54,249.48,258.55,170.1
M,Single-ply,35.5,72.1,155.0,160.0,102.5
M,Raw,30.5,110.9,165.0,195.0,135.0
M,Wraps,32.0,94.8,227.5,250.0,160.0
M,Raw,31.0,58.5,162.5,220.0,137.5
F,Single-ply,28.5,109.0,255.0,215.0,170.0
M,Raw,27.0,94.5,220.0,245.0,155.0
M,Wraps,30.0,81.0,215.0,222.5,137.5
M,Wraps,28.0,95.84,157.5,222.5,97.5
M,Raw,19.0,93.1,227.5,245.0,155.0
M,Wraps,27.0,71.1,152.5,185.0,105.0
M,Raw,29.0,73.5,177.5,225.0,137.5
M,Raw,20.5,85.4,175.0,202.5,102.5
M,Raw,21.5,71.1,129.3,165.6,79.4
F,Raw,32.5,80.3,170.0,215.0,95.0
M,Wraps,24.0,80.9,197.5,250.0,140.0
M,Wraps,37.0,120.6,355.0,340.0,210.0
M,Raw,20.5,124.5,200.0,232.5,132.5
F,Raw,19.0,74.6,102.5,137.5,55.0
M,Wraps,49.0,73.44,185.0,200.0,122.5
M,Raw,18.5,57.1,160.0,200.0,100.0
M,Single-ply,36.0,67.36,265.0,230.0,177.5
M,Raw,24.5,58.8,155.0,200.0,107.5
F,Raw,32.0,47.2,70.0,72.5,40.0
M,Raw,27.0,99.2,172.5,197.5,130.0
F,Raw,26.0,65.0,150.0,160.0,82.5
M,Raw,21.5,91.1,177.5,227.5,112.5
F,Raw,17.0,70.3,120.0,140.0,65.0
M,Raw,20.0,79.0,182.5,190.0,128.0
M,Wraps,41.0,137.1,252.5,245.0,172.5
F,Single-ply,18.0,52.0,142.5,167.5,77.5
M,Raw,37.5,108.7,200.0,230.0,132.5
M,Wraps,49.0,88.2,220.0,210.0,115.0
M,Single-ply,36.5,90.82,295.0,280.0,215.0
M,Raw,49.0,107.3,277.5,287.5,180.0
F,Raw,39.0,75.0,35.0,117.5,42.5
M,Raw,15.5,121.7,212.5,220.0,152.5
F,Raw,20.0,54.88,62.5,122.5,40.0
M,Raw,32.0,81.37,195.0,237.5,157.5
F,Wraps,24.0,65.9,87.5,110.0,57.5
M,Single-ply,24.5,88.6,270.0,257.5,120.0
M,Raw,27.0,74.84,125.0,170.0,142.5
M,Raw,29.0,124.4,195.0,215.0,140.0
F,Raw,20.5,59.3,70.0,120.0,67.5
F,Raw,16.5,86.15,115.0,162.5,72.5
F,Raw,40.5,78.3,137.5,150.0,75.0
M,Raw,33.0,138.2,245.0,272.5,142.5
F,Raw,25.0,67.4,97.5,145.0,67.5
F,Raw,41.5,78.2,105.0,115.0,57.5
M,Wraps,33.0,98.3,267.5,260.0,145.0
F,Raw,40.5,107.25,177.5,180.0,102.5
F,Raw,25.5,76.6,125.0,172.5,75.0
M,Raw,24.0,74.8,275.0,285.0,157.5
F,Raw,33.5,120.1,130.0,170.0,95.0
M,Raw,24.5,104.58,237.5,292.5,142.5
M,Raw,20.5,73.0,232.5,260.0,150.0
F,Wraps,37.0,81.47,111.13,127.01,70.31
M,Raw,27.5,79.5,182.5,215.0,125.0
M,Raw,19.5,99.8,172.5,175.0,130.0
F,Wraps,26.0,77.02,137.5,160.0,67.5
M,Raw,27.0,90.4,182.5,247.5,127.5
M,Wraps,18.0,103.42,207.5,260.0,160.0
M,Raw,22.0,115.85,280.0,300.0,200.0
F,Single-ply,36.5,54.56,79.4,86.2,72.6
F,Raw,19.5,117.8,140.0,132.5,87.5
M,Raw,26.5,111.4,302.5,287.5,210.0
M,Wraps,21.0,89.1,320.0,272.5,160.0
F,Raw,22.5,70.8,120.0,147.5,77.5
M,Wraps,28.0,98.2,270.0,315.0,160.0
F,Raw,34.5,96.4,130.0,145.0,85.0
F,Raw,11.5,49.1,35.0,62.5,25.0
F,Raw,30.5,54.85,105.0,137.5,65.0
F,Raw,15.5,82.5,92.5,92.5,45.0
M,Single-ply,32.0,109.23,330.0,290.0,245.0
M,Raw,20.5,90.8,195.0,222.5,130.0
M,Wraps,31.0,56.0,160.0,190.0,100.0
M,Raw,44.0,104.42,182.5,250.0,157.5
M,Wraps,39.0,118.2,325.0,300.0,167.5
F,Raw,47.5,61.9,85.0,117.5,67.5
M,Raw,45.0,89.4,232.5,267.5,152.5
M,Single-ply,20.0,74.66,207.5,192.5,185.0
M,Raw,25.0,88.8,142.5,197.5,127.5
M,Wraps,24.0,90.0,180.0,230.0,120.0
F,Raw,37.0,91.9,80.0,110.0,55.0
F,Multi-ply,25.0,66.05,210.0,170.0,120.0
M,Raw,54.5,130.96,240.0,267.5,167.5
M,Raw,38.0,91.96,225.0,252.5,170.0
F,Raw,25.0,55.3,97.5,127.5,55.0
M,Raw,38.0,112.12,240.0,230.0,160.0
M,Raw,43.0,89.3,167.5,220.0,130.0
F,Wraps,14.0,47.31,61.0,90.0,35.0
M,Wraps,52.0,81.7,135.0,167.5,90.0
M,Wraps,24.0,110.0,260.82,272.16,124.74
M,Raw,21.0,99.4,197.5,215.0,135.0
F,Raw,14.5,42.76,85.0,110.0,50.0
M,Wraps,38.0,140.0,270.0,300.0,170.0
M,Single-ply,17.5,59.75,177.5,177.5,127.5
M,Raw,28.0,122.0,222.5,230.0,150.0
F,Raw,51.0,109.7,130.0,152.5,72.5
